# renames_high_scenario.tsv — HIGH-confidence scenario/event-VM symbol renames.
# STAGED harvest from living documents (2026-07-12); NOT yet applied to Ghidra.
# Format: address<TAB>binary<TAB>type<TAB>name<TAB>description
# Auto-loaded alongside renames_high.tsv (glob renames_high*.tsv).
# Provenance tags: [MD:<doc>.md]. Cross-cluster duplicates deduped to one row.
# Review before running apply_all_renames.sh.

# === {7D} Show Graphic (show_graphic_op7d_decode.md) ==========================
0x8014532c	BATTLE	GL	evt_op7d_show_graphic_case	{7D} Show Graphic case body in event_scenario_interpreter. FUN_80149bec(0x10) grabs a task slot, spawns task body 0x8013c710, then FUN_8014ca38(handle,ID,0,0) stashes the 1-byte Graphic ID. Size table [0x7D]=0x01. [VERIFIED live: scenario 8, s4==0x32 pre-dispatch park PC40] [MD:show_graphic_op7d_decode.md]
0x8013c710	BATTLE	FN	evt_show_graphic_task_body	{7D} Show Graphic cooperative task body (kind 0x3D, mailbox cmd 0xC): event_task_set_kind(0x3D) + event_graphics_cmd_mailbox_post(0xC) + ETC.OUT overlay render worker 0x801c05d4. Parallel to {76} DarkScreen task 0x8013bd94. [VERIFIED live: kind 0x3D polled by {E5}/{8F}, scenario 8] [MD:show_graphic_op7d_decode.md]
0x8013bc14	BATTLE	FN	event_graphics_cmd_mailbox_post	Posts cmd into the graphics-command mailbox word 0x80166004 and yields until drained (drain runs the VRAM upload). Doubles as the screen-FX lock acquire (spin-yield). cmd values: {7D}=0xC, {76} DarkScreen=6, {91} ShowMapTitle=0xD. [VERIFIED live: 0x80166004 goes 0->6->0 across DarkScreen frames, scenario 8] [MD:show_graphic_op7d_decode.md]
0x80166004	BATTLE	GL	g_screenfx_cmd_mailbox	Graphics-command mailbox / screen-FX lock slot 1: event_graphics_cmd_mailbox_post (0x8013bc14) writes it and blocks until drained; DarkScreen claims token 6. [VERIFIED live: 0->6->0, scenario 8] [MD:show_graphic_op7d_decode.md, DARKSCREEN_OPCODE_76_INVESTIGATION.md]

# === {91} Show Map Title (show_map_title_op91_decode.md) ======================
0x80145e10	BATTLE	GL	evt_op91_show_map_title_case	{91} Show Map Title case body. FUN_80149bec(0x10), event_graphics_cmd_mailbox_post(0xD), worker 0x801c9ec0, event_task_spawn(0x801c9d68), event_task_param_stash(handle,X,Y,Speed), then event_task_yield_until_inactive(handle) — BLOCKS the VM through reveal/hold/erase. Size table [0x91]=0x03. [VERIFIED live: scenario 8 PC43] [MD:show_map_title_op91_decode.md]
0x8014ca38	BATTLE	FN	event_task_param_stash	FUN_8014ca38(handle,a,b,c): writes PTR_DAT_80165f98 + handle*0x400 at slot +0x00/+0x04/+0x08. {91} stashes X/Y/Speed; {7D} stashes Graphic ID; {92} stashes &operands. Shared across task-spawning opcodes. [VERIFIED live: scenario 8 {91} + scenario 6 {92}] [MD:show_map_title_op91_decode.md]
0x8014c9d0	BATTLE	FN	event_task_yield_until_inactive	FUN_8014c9d0(handle): yields the main event context until the spawned task's active byte slot+0x48 clears; the built-in blocking wait ending the {91} case (no following {E5}). [VERIFIED live: VM parked in worker through full title erase, scenario 8] [MD:show_map_title_op91_decode.md]

